cycle,timestamp,sp_W_pct,sp_D_pct,sp_L_pct,sp_positions,sp_unique,sp_entropy,sp_top1,sp_avg_game_len,sp_avg_walls,sp_resign_pct,sp_false_resign,loss,loss_policy,loss_value,eval_score,promoted,en_entropy,en_unique,en_top1,vs_random,vs_greedy,vs_bfs,t_selfplay_min,t_train_min,t_evalnet_min,t_evalbest_min,t_cycle_min
36,00:36:10,42.7,0.0,57.3,4997,171,6.01,83,16.2,4.2,98.4,56.8,0.7874,0.6697,0.1177,0.48,0,4.64,25,2,,,,73.6,4.7,16.8,0.0,95.1
37,02:11:18,51.0,0.0,49.0,4895,183,6.17,82,15.9,4.1,96.1,58.1,0.8199,0.6727,0.1472,0.38,0,4.64,25,2,,,,85.5,5.1,20.0,0.0,110.6
38,04:01:53,47.3,0.0,52.7,5096,187,6.34,75,16.6,4.2,97.6,59.0,0.7877,0.6241,0.1636,0.54,1,4.64,25,2,,1.0,0.7,89.5,5.0,19.9,4.5,118.9
39,06:00:45,41.7,0.0,58.3,5306,176,5.85,98,17.3,4.3,96.7,58.7,0.7831,0.6172,0.1659,0.52,1,4.64,25,2,,1.0,0.8,97.3,5.1,17.7,5.4,125.5
40,08:06:16,64.3,0.0,35.7,4651,183,6.32,72,15.1,3.5,96.7,59.7,0.7843,0.6231,0.1612,0.52,1,4.64,25,2,,1.0,0.9,83.2,5.1,19.7,5.7,113.6
41,11:08:58,38.0,0.0,62.0,4916,187,6.29,78,16.0,4.0,94.7,62.4,0.7883,0.6267,0.1616,0.44,0,5.08,36,2,,,,23.3,5.3,25.3,0.0,53.9
42,18:36:01,47.5,0.5,52.0,4519,89,4.65,83,22.3,5.8,89.5,72.0,0.787,0.6141,0.1728,0.66,1,5.04,35,2,,1.0,1.0,57.3,6.8,34.7,7.7,106.5
43,00:29:52,35.0,0.0,65.0,5329,58,2.68,138,26.6,6.7,100.0,92.1,0.6421,0.4775,0.1646,0.44,0,4.88,31,2,,,,104.5,7.4,32.4,0.0,144.4
44,02:54:15,34.5,0.0,65.5,5023,67,3.15,126,25.1,6.3,,100.0,0.6125,0.4434,0.1691,0.56,1,4.88,31,2,,1.0,0.8,122.0,7.4,29.5,7.8,166.8
45,05:41:03,47.5,0.0,52.5,4895,88,4.48,77,24.5,5.8,,100.0,0.5663,0.398,0.1682,0.48,0,4.92,32,2,,,,119.7,7.5,29.9,0.0,157.1
46,08:18:11,44.5,0.0,55.5,5055,81,4.27,87,25.3,6.0,,100.0,0.5351,0.3635,0.1716,0.54,1,5.0,34,2,,1.0,0.9,121.3,7.6,30.1,7.3,166.3
47,13:47:17,41.5,0.0,58.5,4619,82,3.95,105,23.1,5.5,,100.0,0.6036,0.4265,0.177,0.48,0,4.8,29,2,,,,18.1,11.2,31.4,0.0,60.7
48,17:30:37,42.0,0.0,58.0,4720,103,5.08,71,24.6,6.2,,100.0,0.5884,0.4055,0.1829,0.76,1,4.2,27,11,,1.0,1.0,15.7,11.8,33.3,7.6,68.5
